County,Region
Union,1
Towns,1
Rabun,1
Lumpkin,1
White,1
Habersham,1
Stephens,1
Hall,1
Banks,1
Franklin,1
Hart,1
Jackson,1
Madison,1
Elbert,1
Barrow,1
Oconee,1
Clarke,1
Elbert,1
Oglethrope,1
Wilkes,1
Lincoln,1
Wilkes,1
Greene,1
Morgan,1
Walton,1
Newton,1
Crisp,2
Quitman,2
Randolph,2
Terrell,2
Lee,2
Turner,2
Worth,2
Tift,2
Dougherty,2
Calhoun,2
Clay,2
Early,2
Baker,2
Miller,2
Mitchell,2
Colquitt,2
Cook,2
Seminole,2
Decatur,2
Grady,2
Thomas,2
Brooks,2
Lowndes,2
Jasper,3
Putnam,3
Taliaferro,3
Hancock,3
Warren,3
McDuffle,3
Columbia,3
Glascock,3
Richmond,3
Baldwin,3
Washington,3
Jefferson,3
Burke,3
Twiggs,3
Wilkinson,3
Johnson,3
Laurens,3
Treutlen,3
Emanuel,3
Candler,3
Jenkins,3
Bulloch,3
Screven,3
Troup,4
Meriwether,4
Pike,4
Spalding,4
Butts,4
Lamar,4
Monroe,4
Upson,4
Jones,4
Bibb,4
Talbot,4
Harris,4
Muscogee,4
Taylor,4
Crawford,4
Peach,4
Houston,4
Macon,4
Dooly,4
Schley,4
Marion,4
Chattahoochee,4
Stewart,4
Webster,4
Sumter,4
Charlton,5
Camden,5
Brantley,5
Pierce,5
Wayne,5
McIntosh,5
Glynn,5
Long,5
Liberty,5
Bryan,5
Chatham,5
Effingham,5
Dade,6
Catoosa,6
Whitfield,6
Murray,6
Fannin,6
Walker,6
Chattooga,6
Gordon,6
Gilmer,6
Pickens,6
Floyd,6
Dawson,6
Cherokee,6
Forsyth,6
Bartow,6
Polk,6
Paulding,6
Haralson,6
Carroll,6
Heard,6
Coweta,6
Cobb,7
Gwinnett,7
Fulton,7
Douglass,7
DeKalb,7
Rockdale,7
Clayton,7
Henry,7
Fayette,7
Bleckley,8
Pulaski,8
Dodge,8
Wilcox,8
Telfair,8
Montgomery,8
Wheeler,8
Toombs,8
Tattnall,8
Appling,8
Jeff Davis,8
Coffee,8
Bacon,8
Ware,8
Clinch,8
Echols,8
Lanier,8
Atkinson,8
Berrien,8
Irwin,8
Ben Hill,8
